Grid ID 2019,Accidental Fires,Agriculture,Aviation,Biomass,Commercial Cooking,Construction,Forestry,Gas Leakage,Heat and Power Generation,Industrial Processes,Machinery,Rail,Resuspension,River,Road Transport,Waste,nox,nox_hotspot
52,0.0,0.219725031193651,0.0,0.0,0.0,0.0,0.0,0.0,1.960316519878701,0.012233557,0.019199629681527,0.0,0.0,0.0,0.9376610909456518,0.0003590996392289,3.14949492833876,0
53,0.0,0.401488380938624,0.0,0.0,0.0,0.0,0.0,0.0,1.6831586173458968,0.0,0.0,0.0,0.0,0.0,0.1436492354081882,0.0,2.228296233692709,0
54,0.0,0.268921691014184,0.0,0.0,0.0,0.0,0.0,0.0,1.7244222561743163,0.0,0.017279877872611,0.0,0.0,0.0,9.907839566281146,0.0002705617426428,11.9187339530849,0
55,0.0,0.120674640505571,0.0,0.0,0.0,0.0,0.0,0.0,1.7409042738532556,0.0,0.0220798416704589,0.0,0.0,0.0,32.778981659771745,0.0012887392947733,34.6639291550958,1
56,0.0,0.404344970999028,0.0,0.0,0.0,0.0,0.0,0.0,2.0473469454021496,0.0,0.0115197819090955,0.0,0.0,0.0,2.9657031566746044,0.0001803723306229,5.4290952273155,0
57,0.0,0.19904213110762,0.0,0.0,0.0,0.0,0.0,0.0,2.5165631939532984,0.0,0.0431996878478952,0.0,0.0,0.0,25.882685852419595,0.0013098627034752,28.642800728031883,1
58,0.0,0.0266265171362754,0.0,0.0,0.0,0.0,0.0,0.0,2.2393773341414414,1.711068452,0.0547189504009393,0.0,0.0,0.0,1.392394860644029,0.0321898949496323,5.456376009272318,0
59,0.0,0.0320607040505209,0.0,0.0,0.0,0.0,0.0,0.0,2.576896733148996,0.014000541,0.0787194390861397,0.0,0.0,0.0,1.291018149459005,0.0051847589397453,3.9978803256844064,0
60,0.0,0.0773432447233258,0.0,0.0,0.0,0.0,0.0,0.0,1.677422955427566,0.034541767,0.0527996222772232,0.0,0.0,0.0,0.9804545796742812,0.0050064322773257,2.827568601379722,0
61,0.0,0.147317377211421,0.0,0.0,0.0,0.0,0.0,0.0,0.687551147879997,0.05414859,0.0163196842042531,0.0,0.0,0.0,22.14646978636122,0.0002555274683824,23.052062113125274,0
62,0.0,0.193608216376449,0.0,0.0,0.0,0.0,0.0,0.0,0.6831102327712859,0.030767647,0.0086399389363055,0.0,0.0,0.0,24.843140943464853,0.0003292496517924,25.759596228200685,0
63,0.0,0.0193815999203509,0.0,0.0,0.0,0.0,0.0,0.0,0.9924833744715554,0.0,0.0,0.0,0.0,0.0,25.409868729238877,0.0,26.421733703630785,0
64,0.0,0.0284381028704724,0.0,0.0,0.0,0.0,0.0,0.0,1.3109512836625965,0.0,0.0057599592908703,0.0,0.0,0.0,7.321439064637139,9.01872475476105e-05,8.666678597708625,0
65,0.0,0.189362017270218,0.0,0.0,0.0,0.0,0.0,0.0,0.484123110945136,0.0,0.0163196842042531,0.0,0.0,0.0,26.186536978060275,0.0003284023436446,26.876670192823525,0
66,0.0,0.23112049575562,0.0,0.0,0.0,0.0,0.0,0.0,0.6070494298248312,0.0,0.0115199185817407,0.0,0.0,0.0,20.58638175737155,0.0001869746864945,21.43625857622024,0
67,0.0,0.271590492345497,0.0,0.0,0.0,0.0,0.0,0.0,0.4189607034747228,0.0,0.0028799796454351,0.0,0.0,0.0,11.884203468211798,4.50936237738052e-05,12.577679737301226,0
68,0.0,0.199707015076963,0.0,0.0,0.0,0.0,0.0,0.0,0.6921643189906778,0.0,0.0009599954930224,0.0,0.0,0.0,1.5489238835547536,2.8711944419616e-05,2.4417839250598363,0
69,0.0,0.2366507092404,0.0,0.0,0.0,0.0,0.0,0.0,0.6979489668088623,0.0,0.0028799796454351,0.0,0.0,0.0,30.3939414708281,4.50936237738052e-05,31.33146622014657,1
70,0.0,0.176158025819879,0.0,0.0,0.0,0.0,0.0,0.0,1.412615463570709,0.0,0.0220795751588008,1.260365221,0.0,0.07004,8.382522685507087,0.0005406100944796,11.324321581150954,0
71,0.0,0.0353508697264474,0.0,0.0,0.0,0.0,0.0,0.0,3.578178158683955,0.010434534,0.0748794639476821,3.413145624,0.0,0.0,12.744514730116284,0.0011837803564345,19.857687160830803,0
72,0.0,0.0225754538815702,0.0,0.0,0.0,0.0,0.0,0.0,3.522820387508264,0.007260672,0.0691195046568117,0.0,0.0,0.0,6.1940153051388975,0.0011452796564726,9.816936602842016,0
73,0.0,0.0085137834191063,0.0,0.0,0.0,0.0,0.0,0.0,4.120884551283551,0.19785256,0.0700795001498342,0.007881124,0.0,0.0,8.703409548295854,0.005388842145471,13.114009909293816,0
74,0.0,0.191269607898815,0.0,0.0,0.0,0.0,0.0,0.0,3.009033650826919,0.008679631,0.0364793025451703,0.000259404,0.0,0.0,17.82097759548274,0.0014126537276251,21.068111845481273,0
75,0.0,0.242513358229302,0.0,0.0,0.0,0.0,0.0,0.0,2.356078842784795,0.0,0.007679943443283,0.0,0.0,0.0,0.2842836221596041,0.0001202496633968,2.890676016280381,0
76,0.0,0.410641182642354,0.0,0.0,0.0,0.0,0.0,0.0,2.2680260070146434,0.009594791,0.0067199547838928,0.0,0.0,0.0,0.6017186384153806,0.0001283190982414,3.296828892954512,0
77,0.0,0.158572134517743,0.0,0.0,0.0,0.0,0.0,0.0,2.585508777822036,0.002838662,0.0556796019226584,0.0,0.0,0.0,3.9160854946678625,0.0010856967026656,6.719770367632965,0
78,0.0,0.0507945114376417,0.0,0.0,0.0,0.0,0.0,0.0,2.8284327625521613,0.03802643,0.0729586050903405,7.508976711,0.0,0.0,5.497830295726619,0.0024831066227202,15.999502422429483,0
