Grid ID 2019,Easting,Northing,Zone,Borough,co2_Accidental Fires,co2_Agriculture,co2_Aviation,co2_Biomass,co2_Commercial Cooking,co2_Construction,co2_Forestry,co2_Gas Leakage,co2_Heat and Power Generation,co2_Industrial Processes,co2_Machinery,co2_Rail,co2_Resuspension,co2_River,co2_Road Transport,co2_Waste,nox,pm10,pm2.5,nox_hotspot
58,538500,200500,Non GLA,Non GLA,0.0,1.35605121706618,0.0,0.0,0.0,0.0,0.0,0.67018,5344.645574855245,69.45129991,6.70739655275797,0.0,0.0,0.0,572.0286589015383,0.0,5.456376009272318,1.2757348177687045,1.0890613478156073,0
59,539500,200500,Non GLA,Non GLA,0.0,1.66900615208526,0.0,0.0,0.0,0.0,0.0,0.35039,6324.351325357437,0.568274038,9.64935347795616,0.0,0.0,0.0,542.7550345338227,0.0,3.9978803256844064,0.8655246001096505,0.6936690599437565,0
60,540500,200500,Non GLA,Non GLA,0.0,4.27682859128158,0.0,0.0,0.0,0.0,0.0,0.23583,3541.926421380011,1.402030752,6.47212714889887,0.0,0.0,0.0,410.7172472389823,0.0,2.827568601379722,0.45471998448831663,0.32311567458040047,0
61,541500,200500,Non GLA,Non GLA,0.0,6.46732130392025,0.0,0.0,0.0,0.0,0.0,0.01493,494.4070570101338,2.197860602,2.00045126545093,0.0,0.0,0.0,11411.727406679467,0.0,23.052062113125274,4.347521642620715,0.8984032801482242,0
62,542500,200500,Non GLA,Non GLA,0.0,4.90270561840233,0.0,0.0,0.0,0.0,0.0,0.0186,477.6046563272394,1.248841391,1.0590754430191,0.0,0.0,0.0,12701.878405914658,0.0,25.759596228200685,4.823407373153048,1.0011275344360508,0
63,543500,200500,Non GLA,Non GLA,0.0,0.938816287111059,0.0,0.0,0.0,0.0,0.0,0.00052,706.0370132420835,0.0,0.0,0.0,0.0,0.0,12832.800229124612,0.0,26.421733703630785,4.957860772619048,1.0895378566670957,0
64,544500,200500,Non GLA,Non GLA,0.0,1.46038047637835,0.0,0.0,0.0,0.0,0.0,0.01292,954.3117348259178,0.0,0.706050295346066,0.0,0.0,0.0,3573.871592084066,0.0,8.666678597708625,1.552593456335374,0.46057026264970424,0
65,545500,200500,Non GLA,Non GLA,0.0,5.94576308609249,0.0,0.0,0.0,0.0,0.0,0.01882,658.8020071329082,0.0,2.00045126545093,0.0,0.0,0.0,13961.646941389292,0.0,26.876670192823525,5.730851526521884,1.2801894192572343,0
66,546500,200500,Non GLA,Non GLA,0.0,7.61484089545211,0.0,0.0,0.0,0.0,0.0,0.03512,1052.4506994532546,0.0,1.41210059069213,0.0,0.0,0.0,11452.175059396437,0.0,21.43625857622024,5.320027297778128,1.2886595004123331,0
67,547500,200500,Non GLA,Non GLA,0.0,8.65797002041662,0.0,0.0,0.0,0.0,0.0,0.00092,608.193859314224,0.0,0.353025147673033,0.0,0.0,0.0,5084.370574810095,0.0,12.577679737301226,1.8290999566235069,0.5331159974656726,0
