Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2,cluster,cluster_name
1864,509500,183500,Hillingdon,Outer,0.0009114074611712,0.0172629105587545,0.0,0.0,0.0,0.0,0.0,0.0,0.8523589741437231,0.0,0.0023932317418122,0.0,0.0,0.0,0.127036003789078,3.747230546082282e-05,5.985685049376059,0.724290310622915,0.5921308396083175,3280.373979346955,1,Heat and Power Generation-dominated
1865,509500,183500,Ealing,Outer,0.0009691223561641,0.0158526628907663,0.0,0.0,0.0,0.0,0.0,0.0,0.930142816034066,0.0,0.0005419849917108,0.0,0.0,0.0,0.052484927511601,8.486215691706013e-06,0.2553857089620979,0.0420527609024702,0.0325837603728725,122.6491889152773,1,Heat and Power Generation-dominated
1866,511500,183500,Hillingdon,Outer,0.0,0.0032019795789366,0.0,0.0,0.0,0.0,0.0,0.0,0.3543772558275689,0.0031166686692751,0.0002033024326927,0.0,0.0,0.0,0.6390976102594028,3.183232123735766e-06,1.064259102258508,0.2057566324526924,0.0813893794615185,452.32036508999306,2,Road Transport-dominated
1867,511500,183500,Ealing,Outer,0.000375408567874,0.0042036108049081,0.0,0.0,0.0,0.0040627109286504,0.0,0.0,0.1856184366252145,0.0027146401757767,0.0026635642605896,0.0,0.0,0.0,0.8002770916677395,8.45369692470161e-05,18.37910506342693,3.1364816368673947,1.545412470776997,11659.131730602809,2,Road Transport-dominated
1868,513500,183500,Ealing,Outer,0.0003500480837944,0.0017725968034939,0.0,0.0,0.0,0.0341993279795894,0.0,0.0,0.1579796996865391,0.063185925635998,0.0010372682410741,0.0,0.0,0.0036739932798225,0.7363988512043437,0.0014022890853445,32.392547001541914,7.020367301284247,3.264902538948598,16602.909194786793,2,Road Transport-dominated
1869,515500,183500,Ealing,Outer,0.0006079597501622,0.0024740432555513,0.0,0.0,0.0,0.0402167908620469,0.0,0.0,0.2740723686386145,0.0041219907369709,0.001675134981887,0.0187239686630312,0.0,0.0028851758851672,0.6550407540312336,0.0001818131953348,16.619437396004624,3.456546169967751,1.86812429894912,10565.875907951911,2,Road Transport-dominated
1870,517500,183500,Brent,Outer,0.0003971788519197,0.0007091618724111,0.0,0.0,0.0,0.0008976822565962,0.0,0.0,0.284533355295785,0.0156119727553129,0.0004052441596093,0.0,0.0,0.0046632034077092,0.6927758562465537,6.345154102553055e-06,9.422707130329682,1.8117261163963208,0.912463197370175,5161.308020008034,2,Road Transport-dominated
1871,517500,183500,Ealing,Outer,0.0013364504227142,0.0014677436777653,0.0,0.0,0.0,0.1251867630701943,0.0,0.0,0.4956511517600698,0.0302065447745551,0.0010599084052001,0.0004779012914339,0.0,0.0030881272787254,0.3410866772131396,0.000438732106202,6.583277878491766,1.730849360101396,1.1230142497778062,6335.839193722819,1,Heat and Power Generation-dominated
1872,519500,183500,Ealing,Outer,0.0,0.0004981006606113,0.0,0.0,0.0,0.0,0.0,0.0,0.1001909604916156,0.182220093309018,8.011736071489921e-06,0.0,0.0,0.0003061289890193,0.716776579360534,1.254531302543101e-07,6.192436912467308,1.22359441736652,0.4650832451295961,2499.9308047069994,2,Road Transport-dominated
1873,519500,183500,Brent,Outer,0.0001457596986602,0.0002490672721159,0.0,0.0,0.0,0.0077589087927995,0.0,0.0,0.2359335635637071,0.287675647308985,0.000108459373782,0.0279087168545056,0.0,0.0022442981017218,0.4372825522267039,0.0006930268070186,13.721213877239842,2.2694561607009462,1.3446191505097982,5526.039459211921,2,Road Transport-dominated
