Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2
3374,530500,178500,City of Westminster,Inner,0.0,0.0011354551187482624,0.0,0.0,0.0,0.0,0.0,0.0,0.03857494902776257,0.003224573500383828,1.3100591116554475e-07,0.0,0.0,0.43940067622212725,0.5176642130672421,2.057824808474046e-09,2.7124644542786447,0.40806394412451397,0.14338853354107325,808.7763741647242
3375,530500,178500,City of Westminster,Central,0.00014468354837818054,8.912164111339886e-05,0.0,0.0,0.0,0.031152040652325068,0.0,0.0,0.1871452909888621,0.00325201941841443,1.7031590174921873e-06,0.0,0.0,0.6103191678576445,0.1678959460683493,2.666589559487085e-08,34.55817925429068,2.240443012176236,1.3189883665812179,8470.304424293005
3376,532500,178500,Southwark,Inner,0.001260064554618136,7.393150827957978e-05,0.0,0.0,0.0,0.11482544793643198,0.0,0.0,0.4534800794247724,0.005507019303941631,2.2764841831574662e-05,0.0003245577505003246,0.0,0.0,0.4244933652728868,1.2769406737539666e-05,41.6585799573641,8.19235799672285,3.192251477976753,30143.111824055795
3377,532500,178500,Southwark,Central,0.0,0.005121621078659894,0.0,0.0,0.0,0.6757361608245066,0.0,0.0,0.26527857618755596,0.00233359501656321,5.681918819766833e-08,0.0,0.0,0.0,0.05152998914961107,9.239150753371652e-10,0.6013489873091649,0.10315021250083918,0.09080378955339938,300.5842731605083
3378,532500,182500,City,Central,0.0,0.000715951522119791,0.0,0.0,0.0,0.09446117263721457,0.0,0.0,0.788875063441056,0.01864816675912559,2.811735466649738e-07,0.0,0.0,0.0,0.09729936007523136,4.391706166583642e-09,4.301801943118271,0.2750794867729347,0.230306436468489,3300.242369254425
3379,533500,180500,Tower Hamlets,Inner,0.0,0.00016859890652170446,0.01657125206408551,0.0,0.0,0.07305590786332308,0.0,0.0,0.1653235818719587,0.02552592570431785,0.0,1.2645732348896013e-05,0.0,0.10992991942462743,0.6094121684328168,0.0,18.267506667588695,2.8663924152406057,1.4715384242130105,7370.7833056495765
3380,533500,180500,Tower Hamlets,Central,4.0107845499052675e-05,0.00016470322311306558,0.026368739307056886,0.0,0.0,0.0,0.0,0.0,0.10017825304106634,0.017877763621655152,0.0,0.0,0.0,0.7334591630124482,0.12191126994916128,0.0,18.699583352531725,1.173253616409853,0.803730697471643,3198.177857715055
3381,531500,178500,Lambeth,Inner,5.612387305540139e-05,0.0002312439955799476,0.0,0.0,0.0,0.03689063260859073,0.0,0.0,0.31255831307604237,0.005830160246460221,1.3687528280386197e-05,0.0,0.0,0.0,0.6444153955087596,4.443163231318697e-06,13.318752953170614,2.901422568204772,1.5203288668399249,9041.6102984047
3382,531500,178500,Lambeth,Central,0.0009829206058458917,0.00024218233091212425,0.0,0.0,0.0,0.06842711758890191,0.0,0.0,0.6676299986277208,0.011414877877606885,5.0098535602328114e-05,0.0,0.0,0.0,0.2512520200054654,7.844279446468349e-07,12.717202107328522,2.382713992152283,1.062996650780964,11654.02206367798
3383,531500,183500,Islington,Inner,0.0006243163030343554,7.145461367807623e-05,0.0,0.0,0.0,0.09076247997410544,0.0,0.0,0.3872226283886249,0.012518866623620131,3.904556450844967e-05,0.0,0.0,0.0020309666390401484,0.5067189115841254,1.133030926303816e-05,43.10262823488432,11.398520209913237,6.670738183752693,32944.302659071036
